area,city,companyName,eduLevel,jobName,recruieCount,salary,welfare,workingExp
未知,太原,比比网络科技有限责任公司,本科,运维经理,招1人,8千-1.5万,"五险一金,绩效奖金,加班补助,交通补助,通讯补助,带薪年假,员工旅游,节日福利",3-5年
未知,太原,北京晓羊教育科技有限公司,大专,售前工程师,招1人,5千-7千,"周末双休,五险一金,餐补,补充医疗保险",3-5年
未知,太原,北京国舜科技有限公司,大专,渗透测试工程师,招1人,1万-2万,"五险一金,交通补助,餐补,带薪年假,员工旅游,定期体检",1-3年
未知,太原,山西安盛邦科技有限公司,本科,软件工程师  赴日(日本),招10人,2万-3万,"五险一金,周末双休,加班补助,节日福利,项目奖金",1-3年
未知,太原,北京筑龙信息技术有限责任公司太原分公司,本科,数据挖掘工程师,招1人,6千-8千,"五险一金,周末双休,定期体检,节日福利,员工旅游",1-3年
小店区,太原,山西科泰航天防务技术股份有限公司,本科,大数据开发工程师,招2人,5千-1万,"五险一金,餐补,带薪年假,节日福利,周末双休",1-3年
万柏林区,太原,山西美好蕴育生物科技有限责任公司,本科,运维工程师,招1人,4千-7千,"五险一金,年底双薪,餐补,交通补助,带薪年假,通讯补助,周末双休,公司重点项目",1-3年
未知,太原,山西鸿顺通科技有限公司,本科,AI人工智能开发工程师(五险一金+包吃住),招2人,6千-8千,"五险一金,年终分红,餐补,采暖补贴",1-3年
迎泽区,太原,赞同科技股份有限公司,本科,java工程师,招3人,5千-1万,"五险一金,年底双薪,带薪年假,定期体检,每年多次调薪,餐补",1-3年
未知,太原,Uniqsys优尼卡日本株式会社,本科,对日java/.net/软件开发工程师,招10人,4千-8千,"加班补助,包住,交通补助,房补,住房补贴,无试用期,周末双休,定期团建",经验不限
未知,太原,太原童程童美教育科技有限公司,本科,少儿编程老师（上市公司+五险一金+高薪）,招1人,4千-8千,"五险一金,加班补助,餐补,带薪年假,节日福利,股票期权,绩效奖金",经验不限
未知,太原,北京筑龙信息技术有限责任公司太原分公司,本科,数据分析工程师,招1人,8千-1万,"五险一金,周末双休,定期体检,节日福利,员工旅游",1-3年
未知,太原,太原源合供应链管理有限公司,本科,系统运维工程师,招1人,6千-8千,"创业公司,周末双休,绩效奖金,全勤奖,带薪年假,节日福利,带团队",3-5年
未知,太原,北京奇安信科技有限公司,本科,渗透测试工程师(000465),招1人,1.8万-3万,"五险一金,餐补,补充医疗保险,节日福利,周末双休,健身俱乐部",3-5年
未知,太原,山西大昌汽车集团有限公司,本科,数据运营,招1人,8千-1万,"五险一金,绩效奖金,加班补助,餐补,带薪年假,节日福利,创业公司,大牛带队",1-3年
未知,太原,山西世纪启航教育科技集团有限公司,大专,高级软件工程师java,招1人,8千-1.2万,"五险一金,带薪年假,节日福利,绩效奖金,不加班",3-5年
未知,太原,北京思特奇信息技术股份有限公司,本科,互联网方向_运维（运营）工程师,招2人,5千-8千,"节日福利,五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,定期体检",1-3年
小店区,太原,北京南天信息工程有限公司,本科,Java/C语言开发—实习生（太原）,招2人,2千-4千,"五险一金,年底双薪,加班补助,餐补,带薪年假,定期体检,员工旅游,节日福利",经验不限
未知,太原,山西省四方中等技术学校,大专,软件、手机APP开发教师（包食宿，上五险）,招10人,4千-6千,"五险,包吃,包住,股份分红",3-5年
未知,太原,山西优培教育科技有限公司,大专,少儿编程教师/程序员+五险,招5人,3千-6千,"每年多次调薪,全勤奖,员工旅游,节日福利,股票期权,餐补,五险一金,绩效奖金",经验不限
迎泽区,太原,北京尚学堂科技有限公司,大专,IT技术老师4K+五险一金+包住宿,招10人,4千-6千,"五险一金,包住,弹性工作,全勤奖,不加班,节日福利,定期团建,带薪年假",经验不限
小店区,太原,中标软件有限公司,本科,Linux系统研发工程师（太原）,招5人,8千-1.6万,"五险一金,绩效奖金,交通补助,餐补,弹性工作,补充医疗保险,定期体检,高温补贴",经验不限
未知,太原,上海集钢电子商务有限公司,大专,测试工程师,招10人,5.5千-8千,"五险一金,交通补助,绩效奖金,节日福利,弹性工作",经验不限
未知,太原,北京思特奇信息技术股份有限公司,本科,云方向业务部门_分布式数据库工程师,招1人,5千-8千,"五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,补充医疗保险,定期体检",1-3年
未知,太原,中公教育山西分公司,本科,IT培训讲师（Linux）,招10人,8千-1万,"每年多次调薪,五险一金,年底双薪,绩效奖金,股票期权,带薪年假,定期体检,周末双休",经验不限
未知,太原,北京外企德科人力资源服务上海有限公司,大专,全栈云-大数据,招6人,1.3万-2.3万,"五险一金,年底双薪,加班补助,带薪年假,弹性工作,定期体检,绩效奖金,年终分红",3-5年
未知,太原,库壳教育科技有限公司,本科,嵌入式开发工程师,招3人,4千-8千,"五险一金,绩效奖金,节日福利,全勤奖,每年多次调薪,定期团建,公司重点项目,加班补助",1-3年
未知,太原,中青才智教育投资(北京)有限公司,大专,java+AI开发实习生,招22人,8千-1.6万,"五险一金,年底双薪,加班补助,全勤奖,包住,带薪年假",经验不限
未知,太原,北京思特奇信息技术股份有限公司,本科,大数据业务部门_大数据开发工程师,招1人,8千-1万,"五险一金,绩效奖金,交通补助,餐补,通讯补助,带薪年假,定期体检,节日福利",经验不限
未知,太原,北京百知教育科技有限公司,大专,java+AI开发实习生,招22人,7.5千-1.5万,"五险一金,年底双薪,绩效奖金,加班补助,包住,带薪年假",经验不限
未知,太原,山西恒拓信息技术有限公司,本科,高级java开发工程师,招1人,4千-6千,"创业公司,弹性工作,年底双薪,绩效奖金,全勤奖,五险一金",3-5年
未知,太原,山西信合通信息技术有限公司,大专,大数据分析研发工程师,招1人,4千-6千,,经验不限
未知,太原,北京市软通合力信息技术有限公司,本科,java开发工程师,招3人,7千-1万,"五险一金,周末双休,节日福利,员工旅游",3-5年
未知,太原,北京百知教育科技有限公司,大专,JAVA软件工程师人工智能开发实习生,招22人,6千-1.2万,"五险一金,年底双薪,加班补助,包住,带薪年假",经验不限
小店区,太原,云极互动（北京）科技有限公司太原办事处 ,本科,软件研发工程师,招2人,4千-6千,"五险一金,周末双休,员工旅游,项目奖金,公司重点项目,定期团建",1-3年
